] c0      1 i2c-core: driver [pn544] using legacy suspend method
<6>[    1.582786] c0     26 [WWAN_POOL] alloc out_buffer:de020000 size:65536
<6>[    1.583152] c0     26 usb 1-1: Qualcomm USB modem converter now attached to ttyUSB0
<6>[    1.583213] c0     26 qcserial 1-1:1.0: usb_probe_interface[297] needs_remote_wakeup:1
<6>[    1.583641] c0     26 mdm_hsic_usb_device_add_handler(696) USB device added 2 <Qualcomm CDMA Technologies MSM QHSUSB__BULK>
<6>[    1.583702] c0     26 usb 1-1: udev(1-1)->enable_pm_debug=[0]
<4>[    1.602563] c2      1 msm-pcm-routing msm-pcm-routing: ASoC: Failed to create MI2S_UL_HL debugfs file
<3>[    1.633419] c0     20 mmc0: ACMD 41 init process fail : resp : 0x0
<6>[    1.639066] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia1 mapping ok
<6>[    1.639615] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia2 mapping ok
<6>[    1.640134] c0      1 asoc: snd-soc-dummy-dai <-> CS-VOICE mapping ok
<6>[    1.640653] c0      1 asoc: snd-soc-dummy-dai <-> VoIP mapping ok
<6>[    1.641141] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia3 mapping ok
<6>[    1.641660] c0      1 asoc: snd-soc-dummy-dai <-> SLIMBUS0_HOSTLESS mapping ok
<6>[    1.642179] c0      1 asoc: snd-soc-dummy-dai <-> PRI_I2S_HOSTLESS mapping ok
<6>[    1.642667] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.241 mapping ok
<6>[    1.643125] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.240 mapping ok
<6>[    1.643674] c0      1 asoc: snd-soc-dummy-dai <-> VOICE_STUB mapping ok
<6>[    1.646146] c1      1 asoc: tabla_rx1 <-> msm-dai-q6.16384 mapping ok
<6>[    1.651030] c1      1 asoc: tabla_tx1 <-> msm-dai-q6.16385 mapping ok
<6>[    1.652250] c1      1 asoc: msm-stub-rx <-> msm-dai-q6.12288 mapping ok
<6>[    1.653502] c1      1 asoc: msm-stub-tx <-> msm-dai-q6.12289 mapping ok
<6>[    1.654082] c1      1 asoc: msm-stub-rx <-> msm-dai-q6.12292 mapping ok
<6>[    1.654539] c1      1 asoc: msm-stub-tx <-> msm-dai-q6.12293 mapping ok
<6>[    1.654936] c1      1 asoc: msm-stub-rx <-> msm-dai-q6-hdmi.8 mapping ok
<6>[    1.655302] c1      1 asoc: msm-stub-tx <-> msm-dai-q6.1 mapping ok
<6>[    1.655699] c1      1 asoc: msm-stub-rx <-> msm-dai-q6-mi2s mapping ok
<6>[    1.656096] c1      1 asoc: msm-stub-tx <-> msm-dai-q6-mi2s mapping ok
<6>[    1.656554] c1      1 asoc: msm-stub-rx <-> msm-dai-q6.224 mapping ok
<6>[    1.656951] c1      1 asoc: msm-stub-tx <-> msm-dai-q6.225 mapping ok
<6>[    1.657317] c1      1 asoc: msm-stub-rx <-> msm-dai-q6.2 mapping ok
<6>[    1.657714] c1      1 asoc: msm-stub-tx <-> msm-dai-q6.3 mapping ok
<6>[    1.658171] c1      1 asoc: tabla_rx2 <-> msm-dai-stub mapping ok
<6>[    1.658538] c1      1 asoc: tabla_tx1 <-> msm-dai-stub mapping ok
<6>[    1.658934] c1      1 asoc: msm-stub-rx <-> msm-dai-q6.16386 mapping ok
<6>[    1.659362] c1      1 asoc: msm-stub-tx <-> msm-dai-q6.16387 mapping ok
<6>[    1.659880] c1      1 asoc: tabla_tx2 <-> msm-dai-q6.16389 mapping ok
<6>[    1.660247] c1      1 asoc: msm-stub-rx <-> msm-dai-q6.16392 mapping ok
<6>[    1.660705] c1      1 asoc: msm-stub-tx <-> msm-dai-q6.16393 mapping ok
<6>[    1.661101] c1      1 asoc: tabla_tx3 <-> msm-dai-stub mapping ok
<4>[    1.661132] c0     20 mmc0: BKOPS already enabled
<6>[    1.661162] c0     20 mmc0: cid 1501004d414732474115ed115bf2bfde
<6>[    1.661193] c0     20 mmc0: csd d02701320f5903fff6dbffff8a404006
<6>[    1.661223] c0     20 mmc0: ext_csd 00000000000000010301000000000000
<6>[    1.661254] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661315] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661345] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661376] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661406] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661437] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661468] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661498] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661559] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661559] c1      1 asoc: msm-stub-rx <-> msm-dai-q6.16390 mapping ok
<6>[    1.661620] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661651] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661681] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661712] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661742] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661773] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661803] c0     20 mmc0: ext_csd 00000000000000003c00000000001e00
<6>[    1.661864] c0     20 mmc0: ext_csd 0000000000000002151b110700100701
<6>[    1.661895] c0     20 mmc0: ext_csd 010140070700110001d1f00000000000
<6>[    1.661925] c0     20 mmc0: ext_csd 00000000000000000102000700020005
<6>[    1.661956] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.661986] c0     20 mmc0: ext_csd 00000000000000011f05000001010003
<6>[    1.662017] c0     20 mmc0: ext_csd 0000e800000000000000000000000000
<6>[    1.662078] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.662108] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.662139] c1      1 asoc: snd-soc-dummy-dai <-> SLIMBUS0_HOSTLESS mapping ok
<6>[    1.662139] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.662169] c0     20 mmc0: ext_csd 00000000102012071912000000150000
<6>[    1.662231] c0     20 mmc0: ext_csd 00000000000000000000000000080003
<6>[    1.662261] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.662292] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.662322] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.662353] c0     20 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.662658] c1      1 asoc: snd-soc-dummy-dai <-> MultiMedia5 mapping ok
<6>[    1.663238] c1      1 asoc: snd-soc-dummy-dai <-> MultiMedia6 mapping ok
<6>[    1.664153] c0     20 mmc0: set ext_csd.erase_group_def
<6>[    1.664367] c1      1 asoc: snd-soc-dummy-dai <-> MultiMedia4 mapping ok
<6>[    1.664733] c1      1 asoc: snd-soc-dummy-dai <-> MultiMedia7 mapping ok
<6>[    1.665222] c1      1 asoc: snd-soc-dummy-dai <-> MultiMedia8 mapping ok
<3>[    1.666412] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL8 not found
<3>[    1.666412] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL8 not found
<3>[    1.666442] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL7 not found
<3>[    1.666473] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL7 not found
<3>[    1.666503] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL4 not found
<3>[    1.666534] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL4 not found
<3>[    1.666564] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL4 not found
<3>[    1.666595] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL4 not found
<3>[    1.666625] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL6 not found
<3>[    1.666625] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL6 not found
<3>[    1.666656] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL5 not found
<3>[    1.666687] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL5 not found
<3>[    1.666717] c1      1 soc-audio soc-audio.0: DAI AIF widget for VOICE_STUB_DL not found
<3>[    1.666748] c1      1 soc-audio soc-audio.0: DAI AIF widget for VOICE_STUB_DL not found
<3>[    1.666778] c1      1 soc-audio soc-audio.0: DAI AIF widget for VOICE_STUB_UL not found
<3>[    1.666809] c1      1 soc-audio soc-audio.0: DAI AIF widget for VOICE_STUB_UL not found
<3>[    1.666839] c1      1 soc-audio soc-audio.0: DAI AIF widget for PRI_I2S_DL_HL not found
<3>[    1.666839] c1      1 soc-audio soc-audio.0: DAI AIF widget for PRI_I2S_DL_HL not found
<3>[    1.666870] c1      1 soc-audio soc-audio.0: DAI AIF widget for PRI_I2S_UL_HL not found
<3>[    1.666900] c1      1 soc-audio soc-audio.0: DAI AIF widget for PRI_I2S_UL_HL not found
<3>[    1.666931] c1      1 soc-audio soc-audio.0: DAI AIF widget for SLIM0_DL_HL not found
<3>[    1.666961] c1      1 soc-audio soc-audio.0: DAI AIF widget for SLIM0_DL_HL not found
<3>[    1.666992] c1      1 soc-audio soc-audio.0: DAI AIF widget for SLIM0_UL_HL not found
<3>[    1.666992] c1      1 soc-audio soc-audio.0: DAI AIF widget for SLIM0_UL_HL not found
<3>[    1.667022] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL3 not found
<3>[    1.667053] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL3 not found
<3>[    1.667083] c1      1 soc-audio soc-audio.0: DAI AIF widget for VOIP_DL not found
<3>[    1.667114] c1      1 soc-audio soc-audio.0: DAI AIF widget for VOIP_DL not found
<3>[    1.667144] c1      1 soc-audio soc-audio.0: DAI AIF widget for VOIP_UL not found
<3>[    1.667144] c1      1 soc-audio soc-audio.0: DAI AIF widget for VOIP_UL not found
<3>[    1.667175] c1      1 soc-audio soc-audio.0: DAI AIF widget for CS-VOICE_DL1 not found
<3>[    1.667205] c1      1 soc-audio soc-audio.0: DAI AIF widget for CS-VOICE_DL1 not found
<3>[    1.667236] c1      1 soc-audio soc-audio.0: DAI AIF widget for CS-VOICE_UL1 not found
<3>[    1.667266] c1      1 soc-audio soc-audio.0: DAI AIF widget for CS-VOICE_UL1 not found
<3>[    1.667297] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL2 not found
<3>[    1.667327] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL2 not found
<3>[    1.667358] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL2 not found
<3>[    1.667358] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL2 not found
<3>[    1.667388] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL1 not found
<3>[    1.667419] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL1 not found
<3>[    1.667450] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL1 not found
<3>[    1.667480] c1      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL1 not found
<6>[    1.668121] c1      1 input: apq8064-tabla-snd-card Button Jack as /devices/platform/soc-audio.0/sound/card0/input7
<6>[    1.668274] c1      1 input: apq8064-tabla-snd-card Headset Jack as /devices/platform/soc-audio.0/sound/card0/input8
<6>[    1.668640] c0     20 mmc0: switch to bus width 8
<6>[    1.669830] c0     20 mmc0: new high speed DDR MMC card at address 0001
<6>[    1.669922] c1      1 u32 classifier
<6>[    1.669922] c1      1     Actions configured
<6>[    1.669922] c1      1 Netfilter messages via NETLINK v0.30.
<6>[    1.669983] c1      1 nf_conntrack version 0.5.0 (16384 buckets, 65536 max)
<6>[    1.670471] c1      1 ctnetlink v0.93: registering with nfnetlink.
<6>[    1.670502] c1      1 NF_TPROXY: Transparent proxy support initialized, version 4.1.0
<6>[    1.670532] c1      1 NF_TPROXY: Copyright (c) 2006-2007 BalaBit IT Ltd.
<6>[    1.670654] c1      1 xt_time: kernel timezone is -0000
<3>[    1.670746] c1      1 [NET]tcp_init_mem:limit=14218,128UL=128
<6>[    1.670746] c1      1 [NET]tcp_init_mem:limit=113744,tcp_mem[0]=85308,tcp_mem[1]=113744,tcp_mem[2]=170616
<6>[    1.670837] c0     20 mmcblk0: mmc0:0001 MAG2GA 14.5 GiB 
<6>[    1.671020] c1      1 ip_tables: (C) 2000-2006 Netfilter Core Team
<6>[    1.671173] c1      1 arp_tables: (C) 2002 David S. Miller
<6>[    1.671234] c1      1 TCP: cubic registered
<6>[    1.671234] c1      1 Initializing XFRM netlink socket
<6>[    1.671692] c1      1 NET: Registered protocol family 10
<7>[    1.672028] c1      1 [NET][IPV6][RULE] fib6_rules_init 
<7>[    1.672028] c1      1 [NET][IPV6][RULE] fib6_rules_net_init 
<7>[    1.672028] c1      1 [NET][CORE][RULE] fib_rules_register 
<7>[    1.672058] c1      1 [NET][CORE][RULE] __fib_rules_register ,owner=(null)
<7>[    1.672058] c1      1 [NET][CORE][RULE] fib_default_rule_add ,owner=(null)
<7>[    1.672058] c1      1 [NET][CORE][RULE] fib_default_rule_add ,owner=(null)
<6>[    1.673096] c1      1 Mobile IPv6
<6>[    1.673126] c1      1 ip6_tables: (C) 2000-2006 Netfilter Core Team
<6>[    1.673279] c1      1 IPv6 over IPv4 tunneling driver
<7>[    1.673523] c1      1 [NET][CORE][RULE] attach_rules 
<7>[    1.673523] c1      1 [NET][CORE][RULE] attach_rules 
<6>[    1.673706] c1      1 NET: Registered protocol family 17
<6>[    1.673737] c1      1 NET: Registered protocol family 15
<6>[    1.673737] c1      1 Bluetooth: HIDP (Human Interface Emulation) ver 1.2
<6>[    1.673889] c1      1 ######## bthid_init: ########
<6>[    1.673950] c1      1 ######## bthid_init: done ########
<5>[    1.673950] c1      1 Registering the dns_resolver key type
<6>[    1.674256] c1      1 [DISP] monarudo_panel_init panel ID = PANEL_ID_DLX_SHARP_RENESAS
<6>[    1.674256] c1      1 [DISP] monarudo_panel_init
<6>[    1.674469] c1      1 setting pdata->panel_info.fb_num to 3. type: 8
<6>[    1.682130] c0      1 msm_fb_resolution_override : ovr_src_height : 1920, ovr_src_width : 1080, ovr_dst_height : 1920, ovr_dst_width : 1080
<6>[    1.682649] c0      1 [DISP] update panel framerate 59 -> 60
<6>[    1.694521] c3     20  mmcblk0: p1 p2 p3 p4 < p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20 p21 p22 p23 p24 p25 p26 p27 p28 p29 p30 p31 p32 p33 p34 >
<6>[    1.699618] c0      1 FrameBuffer[0] 1080x1920 size=25067520 bytes is registered successfully!
<7>[    1.699862] c0      1 Registered led device: lcd-backlight
<6>[    1.699923] c0      1 [DISP] monarudo_lcd_probe
<6>[    1.701480] c0      1 VFP support v0.3: implementor 51 architecture 64 part 6f variant 0 rev 2
<6>[    1.701510] c0      1 ThumbEE CPU extension supported.
<5>[    1.701510] c0      1 Registering SWP/SWPB emulation handler
<6>[    1.706394] c3     20 mmc_rescan_try_freq: Find a MMC/eMMC card
<6>[    1.710209] c0      1 clock_late_init: Removing enables held for handed-off clocks
<6>[    1.712284] c0      1 [MPDEC]: msm_mpdec_init init complete.
<6>[    1.712314] c0      1 [Port list] init()
<6>[    1.717808] c0      1 [PM] Acquire 'boot-time' no_halt_lock 60s
<6>[    1.718083] c0      1 [PM] msm_pm_init: msm_pm_boot_vector 0xc0d3798c
<6>[    1.718449] c0    149 configure_bark_dump: dogbark processed by TZ side, regsave address = 0x8F1F0000
<6>[    1.719456] c0    149 set_bark_bite_time: successfully set WDT0_BARK_TIME to 589824 in 1 milliseconds!
<6>[    1.720341] c3     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    1.720463] c0    149 set_bark_bite_time: successfully set WDT0_BITE_TIME to 688128 in 1 milliseconds!
<6>[    1.720647] c0    149 MSM Watchdog Initialized
<6>[    1.724278] c0      1 [AUD] htc-acoustic: acoustic_register_ops 
<6>[    1.724278] c0      1 monarudo_audio_init
<6>[    1.724980] c1      1 set_restart_reason: set restart reason = 776655aa
<6>[    1.725011] c1      1 set_restart_msg: set restart msg = `Unknown'
<6>[    1.725682] c1      1 msm_sleep_stats: Initializing sleep stats 
<6>[    1.727422] c1      1 setting pdata->panel_info.fb_num to 1. type: 7
<6>[    1.728216] c1      1 msm_fb_resolution_override : ovr_src_height : 1080, ovr_src_width : 1920, ovr_dst_height : 1080, ovr_dst_width : 1920
<6>[    1.728521] c1      1 FrameBuffer[1] 1920x1080 size=0 bytes is registered successfully!
<6>[    1.728979] c1      1 mdp4_dtv_vsync_init: ndx=0
<3>[    1.729223] c1      1 hdmi_msm hdmi_msm.1: external_common_state_create: sysfs group de21ac08
<6>[    1.729284] c1      1 hdmi_msm hdmi_msm.1: HDMI HPD: ON
<6>[    1.729497] c1      1 hdmi_core_power(on): success
<6>[    1.731542] c3     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    1.733648] c3     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<3>[    1.734808] c3     20 mmc1: ACMD 41 init process fail : resp : 0x0
<6>[    1.734869] c3     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    1.734961] c3     20 mmc_rescan_try_freq: Can not find a card type. A dummy card ?
<6>[    1.735083] c3     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is OFF
<6>[    1.834030] c1      1 hdmi_core_power(off): success
<6>[    1.834030] c1      1 hdmi_msm hdmi_msm.1: probe done
<6>[    1.834915] c1      1 setting pdata->panel_info.fb_num to 1. type: 10
<3>[    1.835189] c1      1 Inside writeback_probe
<6>[    1.835739] c1      1 msm_fb_resolution_override : ovr_src_height : 1920, ovr_src_width : 1920, ovr_dst_height : 1920, ovr_dst_width : 1920
<4>[    1.835769] c1      1 mdp_get_panel_framerate frame rate=60 is default
<6>[    1.836014] c1      1 FrameBuffer[2] 1920x1920 size=0 bytes is registered successfully!
<3>[    1.836502] c1      1 gpio_request: request gpio-77 (ext_3p3v_en) but already occupied by gpio_kp_in
<7>[    1.836563] c1      1 gpio_request: gpio-77 (ext_3p3v_en) status -16
<3>[    1.836593] c1      1 gpio_vreg_request_gpio: failed to request gpio 77 (ext_3p3v_en), rc=-16
<6>[    1.837295] c1      1 ion_client_create: create ion_client (msm_rotator) at de1538c0
<6>[    1.838425] c0      1 msm_rotator_probe: rotator_hw_revision=2
<6>[    1.839310] c0      1 [WLAN] ## wifi_probe
<6>[    1.839340] c0      1 [WLAN] wifi_set_power = 1
<6>[    1.839371] c0      1 monarudo_wifi_power: 1
<6>[    1.965115] c2      1 [WLAN] wifi_set_carddetect = 1
<6>[    1.965145] c2      1 monarudo_wifi_set_carddetect: 1
<6>[    1.965145] c2      1 mmc1: Slot status change detected (0 -> 1)
<6>[    1.965420] c2      1 [WLAN] 
<6>[    1.965420] c2      1 Dongle Host Driver, version 1.42.1 (r344168)
<6>[    1.965420] c2      1 Compiled in drivers/net/wireless/bcmdhd on Sep 17 2013 at 08:11:28
<6>[    1.979368] c0     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    2.001403] c0     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    2.003692] c0     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    2.010560] c0     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<3>[    2.011994] c0     20 sdio_read_cccr: card->ccr.sdio_vsn: 4, cccr_vsn: 3
<6>[    2.020753] c0     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    2.020845] c0     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    2.021059] c0     20 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is ON
<6>[    2.027163] c0     20 mmc1: new high speed SDIO card at address 0001
<6>[    2.030947] c0     20 [WLAN] alloc static buf at df280000!
<6>[    2.032412] c0     20 [WLAN] dhdsdio_probe: Enter
<6>[    2.032962] c0     20 [WLAN] F1 signature read @0x18000000=0x16234334
<6>[    2.047489] c0     20 [WLAN] DHD: dongle ram size is set to 524288(orig 524288)
<6>[    2.049076] c0     20 [WLAN] dhd_attach: Enter
<6>[    2.049076] c0     20 [WLAN] Read PCBID = 81
<6>[    2.049565] c1     20 wl_create_event_handler thr:a1 created
<7>[    2.050633] c1     20 [NET][CORE][RULE] attach_rules 
<7>[    2.050663] c1     20 [NET][CORE][RULE] attach_rules 
<6>[    2.051182] c1     20 p2p0: P2P Interface Registered
<6>[    2.051213] c1     20 [WLAN] wl_iw_attach: Initialize iscan_sysioc thread
<6>[    2.051396] c1     20 wl_iw_attach thr:a2 created
<6>[    2.051426] c1     20 [WLAN] dhd_attach: Initialize watchdog thread
<6>[    2.051609] c1     20 dhd_attach thr:a3 created
<6>[    2.051640] c1     20 [WLAN] dhd_attach: Initialize DPC thread
<6>[    2.051823] c1     20 dhd_attach thr:a4 created
<6>[    2.051854] c1     20 [WLAN] dhd_attach: Initialize sysioc thread
<6>[    2.052006] c1     20 dhd_attach thr:a5 created
<7>[    2.053074] c1     20 [NET][CORE][RULE] attach_rules 
<7>[    2.053074] c1     20 [NET][CORE][RULE] attach_rules 
<6>[    2.053624] c1     20 [WLAN] Broadcom Dongle Host Driver: register interface [wlan0] MAC: 00:00:00:00:00:00
<6>[    2.053685] c1     20 [WLAN] dhdsdio_probe : no mutex held. 
<6>[    2.053685] c2      1 [WLAN] wifi_set_power = 0
<6>[    2.053715] c2      1 monarudo_wifi_power: 0
<6>[    2.053929] c1     20 mmc_rescan_try_freq: Find a SDIO card
<6>[    2.153883] c1    129 [USB] android_enable_function: android_enable_function: mtp enabled
<6>[    2.153914] c1    129 [USB] android_enable_function: android_enable_function: mass_storage enabled
<6>[    2.153975] c1    129 [USB] android_bind_enabled_functions: android_bind_enabled_functions bind name: mtp
<6>[    2.154005] c1    129 [USB] mtp_bind_config
<6>[    2.154036] c1    129 ===========interface_id 0 mtp
<6>[    2.154158] c1    129 [USB] android_bind_enabled_functions: android_bind_enabled_functions bind name: mass_storage
<6>[    2.154188] c1    129 ===========interface_id 1 mass_storage
<6>[    2.154219] c1    129 [USB] android_usb_init_work: android_usb_init_work: ret: 0
<6>[    2.176590] c0      1 [WLAN] =========== WLAN placed in RESET ========
<6>[    2.176621] c0      1 [WLAN] [ATS][press_widget][launch]
<6>[    2.176773] c0      1 rtc-pm8xxx rtc-pm8xxx: setting system clock to 2013-09-23 03:16:37 UTC (1379906197)
<6>[    2.176926] c0      1 [BATT][BMS] pm8921_bms_probe
<4>[    2.196001] c0      1 [BATT]warn: cur_cell is initiated by htc_battery_cell_find_and_set_id_auto
<6>[    2.196032] c0      1 [BATT][BMS] set bms_battery_data (cell_id=1).
<6>[    2.197741] c0      1 [BATT][BMS] program rev reg is 0x50
<6>[    2.197772] c0      1 [BATT][BMS] trim reg=0x45, trim delta=4
<4>[    2.197863] c0      1 [BATT][CHG] pm8921_is_usb_chg_plugged_in: warn: called before init
<4>[    2.200579] c0    149 [BATT][CHG] pm8921_is_usb_chg_plugged_in: warn: called before init
<4>[    2.203235] c0      1 [BATT][CHG] pm8921_is_usb_chg_plugged_in: warn: called before init
<6>[    2.203265] c0      1 [BATT][BMS] read_soc_params_raw: Skip adjust_pon_ocv_raw due to ocv_updated_flag=0x1
<6>[    2.203296] c0      1 read_backup_cc_uv: cc_backup_uv=-35440801, magic=10004040
<6>[    2.203326] c0      1 [BATT][BMS] read_soc_params_raw: last_good_ocv_raw=0x94b6, last_good_ocv_uv/ori=3933488uV/3933488uVocv_reading_at_100=0, cc_backup_uv=0, ocv_backup_uv=0, last_ocv_uv=3933488
<6>[    2.203418] c0      1 [BATT][BMS] OK battery_capacity_at_boot=78 volt = 4120599 ocv = 3933488
<6>[    2.203448] c0      1 [BATT][BMS] r_sense=10,i_test=2000,v_failure=3000,default_rbatt_mohm=250
<6>[    2.203509] c0      1 [BATT][BMS] pm8921_store_hw_reset_reason OCV_UPDATE_STORAGE=0x1->0x1
<6>[    2.204547] c0      1 [BATT][CHG] Init: Set vbatdet=5780
<6>[    2.210773] c0      1 [CABLE] cable_detection_vbus_irq_handler
<6>[    2.210804] c0      1 [CABLE] cable_detection_vbus_irq_handler --
<6>[    2.212360] c0    149 [BATT][BMS] read_soc_params_raw: Skip adjust_pon_ocv_raw due to ocv_updated_flag=0x1
<6>[    2.212391] c0    149 read_backup_cc_uv: cc_backup_uv=-35440801, magic=10004040
<6>[    2.212421] c0    149 [BATT][BMS] read_soc_params_raw: last_good_ocv_raw=0x94b6, last_good_ocv_uv/ori=3939433uV/3939433uVocv_reading_at_100=0, cc_backup_uv=0, ocv_backup_uv=0, last_ocv_uv=3939433
<6>[    2.212482] c0    149 [BATT][BMS] soc = 79 reporting last_soc = 78
<6>[    2.212513] c0    149 [BATT][BMS] start_percent = 78%
<6>[    2.212543] c0    149 [BATT][BMS] ocv_update_stop_reason:0x0->0x1
<6>[    2.212574] c0    149 [BATT][BMS] stopping ocv updates, is_ocv_update_start=0
<6>[    2.214130] c0      1 [BATT][BMS] start_percent = 79%
<6>[    2.214191] c0      1 [BATT] htc_charger_event_notify charger event=0
<6>[    2.214222] c0      1 [BATT] htc_gauge_event_notify gauge event=0
<6>[    2.214253] c0      1 [BATT][CHG] pm8921_charger_probe: max_vbat=4340, cool_vbat=4340, warm_vbat=4000,wlc_tx_gpio=180, vin_min=4400, vin_min_wlc=4800
<6>[    2.214741] c0      1 [AUD] pm8921_audio: pm8921_audio_probe
<6>[    2.221303] c0      1 ALSA device list:
<6>[    2.221333] c0      1   #0: apq8064-tabla-snd-card
<4>[    2.221455] c0      1 Warning: unable to open an initial console.
<6>[    2.223744] c0      1 Freeing init memory: 1040K
<3>[    2.228200] c1      1 init: property 'ro.hardware' doesn't exist while expanding '/init.${ro.hardware}.rc'
<3>[    2.228261] c1      1 init: error while handling import on line '8' in '/init.rc'
<3>[    2.235647] c1      1 init: /init.target.rc: 63: invalid command 'e2fsck'
<3>[    2.236593] c1      1 init: /init.target.rc: 750: ignored duplicate definition of service 'ril-daemon'
<3>[    2.236624] c1      1 init: /init.target.rc: 767: ignored duplicate definition of service 'shutdown'
<3>[    2.236654] c1      1 init: /init.target.rc: 773: ignored duplicate definition of service 'charging'
<4>[    2.236868] c1      1 init (1): /proc/1/oom_adj is deprecated, please use /proc/1/oom_score_adj instead.
<6>[    2.304013] c0     20 [BATT][CHG] pm8921_is_pwr_src_plugged_in: usb_in=1, dc_in=0
<6>[    2.304043] c0     20 [CABLE] check_vbus_in: vbus = 0, vbus_in = 1
<6>[    2.304074] c0     20 monarudo_usb_uart_switch: usb, rev=129
<6>[    2.304196] c0     20 [USBH] msm_otg_set_vbus_state: 1
<6>[    2.304227] c0     20 [USB] PMIC: BSV set
<6>[    2.304257] c0     20 [USB] PMIC: BSV init complete
<6>[    2.304288] c1     79 [USB] OTG_STATE_B_IDLE state
<6>[    2.304318] c1     79 [USBH] b_sess_vld
<6>[    2.304349] c1     79 [USBH] msm_chg_detect_work: state:CHG_STATE_UNDEFINED
<7>[    2.333953] c1     79 [DISP] Drv: ReadHPD: D
<6>[    2.400183] c1      1 keychord: using input dev h2w headset for fevent
<6>[    2.400244] c1      1 keychord: using input dev keypad_8960 for fevent
